CODIGO_DE_HECHO_EN_BITACORA,DEPARTAMENTO,MUNICIPIO,CÓDIGO_DANE,DIRECCION_TERRITORIAL,PDET_ETCR,REGION_PDET_ETCR,FECHA_DEL_EVENTO,MES_HECHO,ANO_HECHO,TIPO_DE_EVENTO,SUB_TIPO_DE_EVENTO,PRESUNTO_AUTOR ,DESCRIPCION_DEL_AUTOR,OBSERVACIONES,DESCRIPCION_PRELIMINAR_DEL_EVENTO,FUENTE,CATEGORIZACION_DEL_EVENTO
37724,NORTE_DE_SANTANDER,TIBU,54810,NORTE_DE_SANTANDER_Y_ARAUCA,ETCR - PDET,Catatumbo,05/01/2020,1,2020,HOMICIDIOS,OTROS,NO_PRECISA,NO_PRECISA_,,"La muertes violentas en Tibú no cesan y tras cuatro días de
comenzado el año 2020 ya son cuatro las víctimas de
asesinatos. En las últimas horas se presentó un triple homicidio en
el sector Mata de Coco del corregimiento La Gabarra.",RCN RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37725,CAUCA,SANTANDER_DE_QUILICHAO,19698,CAUCA,PDET,Alto Patía-Norte del Cauca,04/01/2020,1,2020,ACCIONES_ARMADAS,ATAQUE_A_INSTALACIONES_DE_LA_POLICIA_NACIONAL,GAOR_GRUPOS_ARMADOS_ORGANIZADOS_RESIDUALES,OTROS,DAGOBERTO_RAMOS,"Resultó herido un patrullero de la Policía en la madrugada
1 La información contenida en esta Bitácora de Eventos es para uso exclusivo de los funcionarios de la
Unidad Administrativa Especial de Atención y Reparación Integral a las Víctimas de la Violencia (UARIV). Si
bien en ésta se recoge información abierta al público como la contenida en los principales diarios y revistas
del país, también se incluye información clasificada. Esta información puede utilizarse, con la debida reserva,
para promover acciones interinstitucionales tendientes a mitigar riesgos de violaciones de derechos
humanos.
2 Para clasificar las acciones armadas, tomamos la definición del Observatorio del Programa Presidencial de
Derechos Humanos y DIH – Vicepresidencia de la República, según la cual las acciones armadas
comprenden: Actos de terrorismo, Ataques a Instalaciones de la Fuerza Pública, Emboscadas,
Hostigamientos, Incursiones a Población, Paro Armado, Retenes ilegales, Sabotajes, Piratería Terrestre y
Retenciones.
3 El Índice de Riesgo de Victimización –IRV- de 2012 fue construido en un proyecto de investigación de la
Unidad de Víctimas que, a través de una metodología estadística multivariada en función de las dimensiones
de Amenaza y Vulnerabilidad, muestra la probabilidad de ocurrencia de violaciones de DDHH e infracciones
al DIH en un municipio, con base en el comportamiento histórico de éstas violaciones e infracciones. En esta
versión se incluyen los resultados del IRV de 2014.
de este domingo tras un ataque contra la estación de la institución
en el municipio de Santander de Quilichao, en el norte del
departamento del Cauca. El hecho tuvo lugar en
el corregimiento Mondomo y fue perpetrado por hombres que se
transportaban en motocicletas en la vía Panamericana, según
informaron las autoridades.",EL NUEVO SIGLO,ACCIONES_ARMADAS
37726,NARIÑO,SAN_ANDRES_DE_TUMACO,52835,NARIÑO,ETCR - PDET,Pacífico y frontera Nariñense,04/01/2020,1,2020,ACCIONES_ARMADAS,EMBOSCADA,GAOR_GRUPOS_ARMADOS_ORGANIZADOS_RESIDUALES,OTROS,FRENTE_OLIVER_SINISTERRA,"Militar cayó
en campo minado mientras realizaba labores de erradicación en
Tumaco. El cabo Segundo hacía parte del equipo de apoyo de un
grupo de erradicación forzada.",RCN RADIO,ACCIONES_ARMADAS
37727,CHOCO,NUQUI,27495,CHOCO,0,0,05/01/2020,1,2020,HOMICIDIOS,LIDERES_SOCIALES,GAO_GRUPOS_ARMADOS_ORGANIZADOS,ELN,,"El pasado 5 del mes de Enero a las 10 am en la comunidad hoja blanca, fue asesinado el líder indígena Anuar Rojas Isaramá de 29 años de edad pertenecientes a la guardia indígena de la comunidad Agua Blanca, fue asesinado por hombres armados en hechos que ocurrieron el pasado domingo 5 de enero. El alcalde de Nuquí, Yefer Arley Gamboa, manifestó que desconocen si el joven tenía amenazas en su contra y aseguró que el crimen generó el desplazamiento de 28 familias, representadas en 123 personas, quienes se encuentran resguardadas en un caserío del corregimiento de Tribuga",UARIV,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37728,CAUCA,CALOTO,19142,CAUCA,PDET,Alto Patía-Norte del Cauca,06/01/2020,1,2020,ACCIONES_INSTITUCIONALES,RESCATE/LIBERACION_DE_SECUESTRADOS,NO_PRECISA,NO_PRECISA_,,"Por presión de la
Policía, el Ejército y la Fuerza Aérea, fue posible la liberación de
dos jóvenes que fueron secuestrados el pasado viernes 3 de enero
en el Palo, uno de los sectores neurálgicos por el orden público
entre Caloto y Toribio.",EL ESPECTADOR,ACCIONES_INSTITUCIONALES
37729,PUTUMAYO,PUERTO_ASIS,86568,PUTUMAYO,ETCR - PDET,Putumayo,03/01/2020,1,2020,ACCIONES_INSTITUCIONALES,CAPTURAS,GAOR_GRUPOS_ARMADOS_ORGANIZADOS_RESIDUALES,GAO_RESIDUAL_FRENTE_1,,"La
Policía Nacional de los colombianos, en desarrollo del plan
Navidad, unidos por la seguridad y la convivencia llevó a cabo la
realización de 01 registro y allanamiento que deja como resultado
la captura por orden judicial de un integrante del Grupo Armado
Organizado Residual (GAO-r E1), quien tenía injerencia en los
departamentos de Caquetá, Putumayo y Cauca.",MI PUTUMAYO,ACCIONES_INSTITUCIONALES
37730,CHOCO,RIOSUCIO,27615,URABA,ETCR - PDET,Chocó,02/01/2020,1,2020,ACCIONES_INSTITUCIONALES,INCAUTACIONES,GAO_GRUPOS_ARMADOS_ORGANIZADOS,ELN,,"La Armada de Colombia a través de la Fuerza
Naval del Pacífico, propinó un contundente golpe al Frente de
Guerra Occidental ELN, con la destrucción de un área
campamentaria y la incautación de material de guerra e
intendencia en el área general del Río Cupíca, departamento del
Chocó. La operación adelantada en el municipio de Riosucio,
Chocó, fue desarrollada de forma conjunta con la Fuerza Aérea
Colombiana y coordinada con el Cuerpo Técnico de Investigación
de la Fiscalía, permitiendo la ubicación de esta estructura con
capacidad para albergar a más de 30 personas. Durante el registro del área, fueron hallados un fusil colt calibre 5.56 mm, una pistola
calibre 9 mm, once proveedores de diferentes calibres, 1.887
cartuchos de diferentes calibres, tres artefactos explosivos
improvisados y material de intendencia alusivo al ELN.",RCN RADIO,ACCIONES_INSTITUCIONALES
37731,NORTE_DE_SANTANDER,OCAÑA,54498,NORTE_DE_SANTANDER_Y_ARAUCA,0,0,07/01/2020,1,2020,ACCIONES_ARMADAS,ACTO_DE_TERRORISMO,NO_PRECISA,NO_PRECISA_,,"Una fuerte explosión sobre la vía Ocaña – Ábrego se registró en horas de la madrugada. El hecho ocurrió a la altura del corregimiento La Ermita, zona rural del municipio de Ocaña, donde según las autoridades, delinque el Ejército de Liberación Nacional (ELN). Cerca del lugar de la detonación se encuentra una guarnición militar. La carretera tiene paso restringido a un solo carril por el acto terrorista.",LA OPINION,ACCIONES_ARMADAS
37732,BOLIVAR,SANTA_ROSA_DEL_SUR,13688,MAGDALENA_MEDIO,PDET,Sur de Bolívar,07/01/2020,1,2020,ACCIONES_ARMADAS,ATAQUE_A_INSTALACIONES_DE_LA_POLICIA_NACIONAL,GAO_GRUPOS_ARMADOS_ORGANIZADOS,ELN,,"Con ráfagas de ametralladora y varias granadas fue atacada la estación de Policía del corregimiento Buenavista en el sur de Bolívar. El ataque, según informaron las autoridades, fue realizado por un grupo guerrillero del ELN.
“Fue un fuerte hostigamiento contra la sede de la fuerza pública, lamentamos que dos policías, una mujer y una niña resultaran con heridas a causa de la explosión de las granadas, lesiones producidas por esquirlas”, aseguró el alcalde de Santa Rosa, Fabio Orlando Mendoza.
El personero de Santa Rosa, Jorge Romero, señaló que se va a realizar un consejo extraordinario de seguridad en la zona del ataque.",BLU RADIO,ACCIONES_ARMADAS
37733,ARAUCA,ARAUCA,81001,NORTE_DE_SANTANDER_Y_ARAUCA,0,0,07/01/2020,1,2020,HOMICIDIOS,OTROS,NO_PRECISA,NO_PRECISA_,,"hombre fue asesinado en las últimas horas en el municipio de Arauca, teniendo como escenario el binacional río Arauca en inmediaciones de las playas, sector del Malecón Ecoturístico de la capital araucana a donde concurrieron las autoridades.",LA VOZ DEL CINARUCO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37734,COLOMBIA,NO_PRECISA,,,,,07/01/2020,1,2020,OTRO_TIPO_DE_EVENTO,OTROS,NO_PRECISA,NO_PRECISA_,,"En 2019 hubo 344 víctimas de minas antipersonales y
artefactos explosivos (entre los que se cuentan restos explosivos de guerra como morteros,
granadas o misiles, artefactos que involucran mecanismos de detonación controlada y
artefactos explosivos lanzados). De acuerdo con el Comité Internacional de la Cruz Roja en
Colombia (CICR), la organización que dio a conocer estas cifras, 158 de los afectados son
civiles, 19 son menores de edad y 44 fallecieron. Los últimos casos que se conocieron en el
país ocurrieron en zonas rurales de Ábrego (Norte de Santander) y Dabeiba (Antioquia).
El 80 % de las consecuencias humanitarias relacionadas con contaminación por armas en
2019 se concentraron en 12 departamentos del país: Antioquia, Arauca, Bolívar, Caquetá,
Cauca, Chocó, Córdoba, Guaviare, Meta, Nariño, Putumayo y Norte de Santander. Este último
departamento fue el que más víctimas tuvo: 108 personas.",EL ESPECTADOR,OTRO_TIPO_DE_EVENTOS
37735,CHOCO,BOJAYA,27099,CHOCO,PDET,Chocó,06/01/2020,1,2020,AMENAZAS_E_INTIMIDACIONES,GENERALIZADAS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,CLAN_DEL_GOLFO,,"El padre Francisco de Roux,
presidente de la Comisión, rechazó rotundamente las recientes amenazas contra los líderes
sociales del Chocó, instó a las autoridades a tomar medidas urgentes para proteger la vida
de las comunidades. ""La Comisión para el Esclarecimiento de la Verdad, la Convivencia y la
No Repetición rechaza, rotundamente, las recientes amenazas a los líderes sociales del Chocó,
quienes se encuentran en grave situación de indefensión"", en respuesta a las amenazas que
han recibido al menos 12 líderes sociales del municipio de Bojayá, y de todo el Chocó, después
de que denunciaran una incursión paramilitar en la comunidad de Pogue el 31 de diciembre
pasado.  Entre estas personas está Leyner Palacios, víctima de la masacre del 2 de mayo de 2002,
perpetrada por las Farc, en medio de un combate con los paramilitares. Palacios denunció que recibió una llamada en la que le decían que tenía dos horas para abandonar el departamento de Chocó.",EL ESPECTADOR,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37736,CHOCO,BOJAYA,27099,CHOCO,PDET,Chocó,07/01/2020,1,2020,OTRO_TIPO_DE_EVENTO,OTROS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,ELN,,"Gobierno exige a ELN no más minas ni secuestros en Bojayá; pobladores claman diálogo. El comisionado de paz, Miguel Ceballos, junto al líder de Bojayá Leyner Palacios, hablaron de la situación que se vive en la población chocoana.
El funcionario reiteró las exigencias del Gobierno a la guerrilla del ELN de cesar secuestros y la siembra de minas, mientras que Palacios abogó por el diálogo.",BLU RADIO,OTRO_TIPO_DE_EVENTOS
37737,NARIÑO,OLAYA_HERRERA,52490,NARIÑO,PDET,Pacífico y frontera Nariñense,07/01/2020,1,2020,OTRO_TIPO_DE_EVENTO,OTROS,NO_PRECISA,NO_PRECISA_,,"través de un comunicado, las Fuerzas Militares colombianas confirmaron el hallazgo de dos fosas comunes en la zona rural de Olaya Herrera, en el departamento de Nariño, después que recibieran información a través de la red de participación cívica afirmando que en ese sector se había presentado un enfrentamiento entre grupos armados residuales de las disidencias de Farc el pasado 26 de diciembre.
En medio de una operación en la vereda Barro Caliente, las tropas ubicaron las dos fosas comunes que fueron registradas por la SIJIN. Los cadáveres, según información preliminar, pertenecerían a miembros de las disidencias de Farc. Los cuerpos fueron extraídos del lugar por la División de Aviación del Ejército y fueron trasladados a Medicina Legal de Tumaco, donde se adelantará el proceso de identificación. Hasta el momento solo se han adelantado los actos urgentes en la ubicación de las fosas comunes.",BLU RADIO,OTRO_TIPO_DE_EVENTOS
37738,NARIÑO,OLAYA_HERRERA,52490,NARIÑO,PDET,Pacífico y frontera Nariñense,08/01/2020,1,2020,ACCIONES_ARMADAS,ENFRENTAMIENTOS,GAOR_GRUPOS_ARMADOS_ORGANIZADOS_RESIDUALES,OTROS,FRENTE_OLIVER_SINISTERRA,"Por enfrentamientos de dos grupos armados ilegales el día 27 de diciembre del 2019, (Frete Oliver Sinisterra y el grupo disidente F30) familias de la vereda el Cedro  Rio de Santinga jurisdicción de Olaya Herrera decidieron desplazarse  al casco urbano de Mosquera ",UARIV,ACCIONES_ARMADAS
37739,PUTUMAYO,PUERTO_GUZMAN,86571,PUTUMAYO,PDET,Putumayo,06/01/2020,1,2020,HOMICIDIOS,LIDERES_SOCIALES,NO_PRECISA,NO_PRECISA_,,"Sicarios en moto asesinaron en la noche de este lunes a Gloria Ocampo, de 37 años, una reconocida líder social del Putumayo que apoyaba los programas de sustitución voluntaria de cultivos de uso no lícito. El crimen se registró en la vereda La Estrella de Puerto Guzmán y de acuerdo con las versiones entregadas por testigos ""se acercaron dos hombres que se transportaban en una motocicleta. Llegaron hasta la casa de la señora Gloria, preguntaron directamente por ella. La señora se identificó y le dispararon en repetidas ocasiones"".",EL TIEMPO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37740,CAUCA,SANTANDER_DE_QUILICHAO,19698,CAUCA,PDET,Alto Patía-Norte del Cauca,08/01/2020,1,2020,ATENTADOS,REINCORPORADOS,NO_PRECISA,NO_PRECISA_,,"Viyarmil Serna
Andrade, un excombatiente de las Farc en proceso de reincorporación, fue asesinado
por sicarios que le dispararon cuando se encontraba en el parque de los Cholaos en el
municipio de Santander de Quilichao (norte del Cauca).
De acuerdo con la información que recibieron las autoridades, el excombatiente fue
abordado por sujetos que se movilizaban en una motocicleta y le dispararon en tres
oportunidades.",RCN RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37741,VALLE_DEL_CAUCA,BUENAVENTURA,76109,VALLE_DEL_CAUCA,PDET,Pacífico Medio,08/01/2020,1,2020,AMENAZAS_E_INTIMIDACIONES,GENERALIZADAS,GAOR_GRUPOS_ARMADOS_ORGANIZADOS_RESIDUALES,OTROS,,"Las
comunidades de la zona rural de Buenaventura denuncian que se siente atemorizados
por la presencia de grupos armados ilegales.
Según el obispo de la ciudad puerto, monseñor Rubén Darío Jaramillo Montoya, ya son
más de 20 familias que se vieron en la obligación de dejar sus viviendas en
inmediaciones del Río Raposo. La presencia de hombres fuertemente armados haciendo
control del territorio pertenecientes a las disidencias Farc, Clan del Golfo y ELN, estaría
generando el éxodo de familias enteras, que temen por su seguridad. “Se dice que unas
20 familias han llegado a Buenaventura por estos hechos”, agregó.",BLU RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37742,CHOCO,CARMEN_DEL_DARIEN,27150,URABA,PDET,Chocó,07/01/2020,1,2020,AMENAZAS_E_INTIMIDACIONES,INDÍGENAS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,CLAN_DEL_GOLFO,AGC,"Hasta el territorio de Jiguamiandó habrían llegado hombres vestidos de camuflado y
pertenecientes al clan del Golfo (autodenominados Autodefensas Gaitanistas de
Colombia, AGC) desde inicios de enero.
Según la Comisión Intereclesial de Justicia y Paz, ONG que lanzó la alerta, a las 3:50
p.m. del domingo 5 de enero, unos 30 hombres con armas largas hicieron presencia en
la comunidad embera de Dearade, parte del cabildo mayor embera de Urada-
Jiguamiandó, quienes ordenaron reunirse a toda la comunidad y preguntaron por los
líderes y lideresas. En la reunión manifestaron que “debían deforestar y sembrar coca"",
consigna la Comisión Intereclesial en su denuncia.",EL TIEMPO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37743,ARAUCA,FORTUL,81300,NORTE_DE_SANTANDER_Y_ARAUCA,PDET,Arauca,08/01/2020,1,2020,ACCIONES_ARMADAS,ATAQUE_A_MISION_MEDICA,NO_PRECISA,NO_PRECISA_,,"Un camión cargado con cilindros de oxígenos terminó siendo robado por elementos al margen de la ley en un corredor vial del departamento de Arauca. La acción que se convierte en una violación a la Misión Médica, fue perpetrada en las horas de la tarde de este miércoles 08 de enero en el corredor vial Fortul – Tame, confirmaron autoridades militares al periodismo de Noticias Caracol de La Voz del Cinaruco. Integrantes al parecer del Grupo Armado Residual de las disidencias salieron a este eje vial del Piedemonte Llanero, donde luego de intimidar al conductor procedieron a robarse el vehículo turbo blanco de placas TTR-437, el que cuenta con el logo de la Misión Médica.",RCN RADIO,ACCIONES_ARMADAS
37744,ARAUCA,TAME,81794,NORTE_DE_SANTANDER_Y_ARAUCA,PDET,Arauca,08/01/2020,1,2020,ACCIONES_ARMADAS,BLOQUEO_DE_VIAS,NO_PRECISA,NO_PRECISA_,,"Amenaza de carga explosiva en corredor vial de Tame obliga su cierre. Las autoridades tratan de verificar la presencia de una carga explosiva instalada por elementos al margen de la ley en el corredor vial que del municipio de Tame conduce al sector de Puente San Salvador en límites con el vecino departamento del Casanare.Las maniobras adelantadas por los técnicos antiexplosivos del grupo Exde motivaron el cierre del corredor vial cerca al caserío de Puerto San Salvador, separado por el río Casanare y la población de Hato Corozal en el vecino departamento del Casanare, donde han sido detectados varios cilindros bomba.",LA VOZ DEL CINARUCO,ACCIONES_ARMADAS
37745,HUILA,ALGECIRAS,41020,CAQUETA_Y_HUILA,PDET,Cuenca del Caguán y Piedemonte Caqueteño,08/01/2020,1,2020,HOMICIDIOS,OTROS,NO_PRECISA,NO_PRECISA_,,"En la noche de este miércoles fue
asesinada la líder comunal, Mireya Hernández en Algeciras, Huila, hecho que es investigado
por las autoridades. Las primeras versiones indican que la mujer se encontraba en el barrio
20 de Julio en compañía de su esposo, cuando sicarios a bordo de una motocicleta le
dispararon hiriéndola de gravedad.",RCN RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37746,PUTUMAYO,PUERTO_GUZMAN,86571,PUTUMAYO,PDET,Putumayo,08/01/2020,1,2020,HOMICIDIOS,OTROS,NO_PRECISA,NO_PRECISA_,,"Hacia las 9:30 de la noche de este miércoles en la vereda Los Mangos fue atacado por sujetos desconocidos un hombre identificado como Oscar Quintero Valencia, quien fue asesinado en frente de su esposa, cuando hombres fuertemente armados lo sacaron de su vivienda para ejecutarlo. Desde el departamento del Cauca, familiares y allegado a Quintero Valencia, quien era oriundo de Santander de Quilichao, aseguraron que esta persona se desempeñaba como líder social en esta zona.",RCN RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37747,PUTUMAYO,PUERTO_GUZMAN,86571,PUTUMAYO,PDET,Putumayo,08/01/2020,1,2020,HOMICIDIOS,OTROS,NO_PRECISA,NO_PRECISA_,,"En la vereda Caño Sábalo se registró un homicidio, en límites con Puerto Caicedo, allí la víctima fue identificada como Gentil Hernández Jiménez.",RCN RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37748,PUTUMAYO,PUERTO_GUZMAN,86571,PUTUMAYO,PDET,Putumayo,09/01/2020,1,2020,HOMICIDIOS,OTROS,NO_PRECISA,NO_PRECISA_,,"Con este caso Soledad llega a cinco asesinatos en lo que va del año 2020. En la calle 57 con carrera 2, barrio Villa Sol, en Soledad, fue asesinado a tiros un hombre de 32 años identificado como Álvaro Gutiérrez. La víctima recibió cinco disparos mortales: tres en la cabeza, uno en cuello y otro en la espalda. Por este caso fue detenido un hombre a quien la Policía Judicial identificó como alias Tasmania.",EL HERALDO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37749,HUILA,PITALITO,41551,CAQUETA_Y_HUILA,0,0,07/01/2020,1,2020,HOMICIDIOS,OTROS,NO_PRECISA,NO_PRECISA_,,"Conmoción y rechazo ha causado
en Pitalito el reciente asesinato de un reconocido comerciante. Las autoridades ofrecen una
recompensa de $30 millones a quien brinde información que permita capturar a los
responsables. Transcurridos solo 8 días del 2020 se han registrado 2 hechos de sicariato, que
continúan con la ola de homicidios que desde el año pasado azota la población. Se descarta
que haya sido víctima de un atraco, porque no le despojaron sus pertenencias. Al mismo
tiempo, el alcalde dio a conocer la recompensa de hasta 30 millones de pesos para quien
brinde información de los autores del homicidio.",LA NACION,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
